source_name,latitude,longitude
Estação de Tratamento de Esgoto - Bandeirinhas,-20.0066649,-44.1777869
WWTP_705011191,-21.1032296,-48.0354841
WWTP_708246017,-22.3525832,-47.403789
WWTP_708297706,-22.4252071,-47.2833152
Tratamento de Esgoto de Itueta,-19.3867812,-41.2191462
Estação de Tratamento de Esgoto Cabreúva,-23.296281,-47.1537153
Estação de Tratamento de Esgoto Jumirim,-23.0820831,-47.7811657
WWTP_725851687,-21.8176765,-48.1702628
Estação de Tratamento de Esgoto Ceagesp,-23.3446465,-47.800442
Estação de tratamento Rechan,-23.5885373,-48.3192495
WWTP_744196977,-23.1123243,-45.7226841
Estação de Tratamento de Esgoto Fazenda Velha,-23.192666,-47.8788679
Estação de tratamento de esgosto,-23.7660739,-48.1335665
WWTP_761369570,-23.4970561,-49.315888
EEEB - Estação Elevatória de Esgoto Bruto Centro,-20.7827431,-41.3890136
WWTP_767565963,-22.3013312,-46.9571204
WWTP_768434635,-22.9310128,-47.5600518
SABESP - Estação de Tratamento de Esgoto,-23.7119166,-46.4219644
WWTP_769894513,-19.1933803,-49.8471038
ETE,-23.3613932,-46.0154153
WWTP_769984569,-23.4159053,-47.0852687
Okena,-23.5462883,-46.9468368
Estação de Tratamento de Esgoto Parque Andreense,-23.7708629,-46.4628848
Estação de tratamento de esgoto - Morro do Alto,-23.4723354,-47.9620204
WWTP_804772244,-23.2810328,-45.5372565
Estação de Tratamento de Esgotos Canjica,-23.2304108,-47.3097943
WWTP_813738230,-20.7829497,-41.1180698
Estação de tratamento de esgoto,-23.6984408,-48.0946941
WWTP_817384338,-22.8285812,-47.6679125
WWTP_821439268,-21.587353,-48.4439462
ETE Vargem,-22.9114423,-46.4292759
WWTP_825449334,-22.9066292,-46.5692988
WWTP_840703874,-22.5139636,-44.101545
Estação de Tratamento de Esgoto Jardim Conduta,-22.428908,-47.5493384
WWTP_845110964,-23.0540776,-45.6422987
WWTP_845110970,-22.9101586,-45.4587235
Estação de Tratamento de Esgoto,-20.0905537,-47.7988261
ETE Central,-23.2808427,-45.9681195
Estação Elevatória de Esgoto Porto Novo,-23.6896472,-45.4432608
Estação de tratamento de esgoto de vermelho,-21.1086145,-42.4481191
ETE Mambucaba,-23.0238898,-44.5438985
WWTP_872327868,-23.9211435,-46.3708995
WWTP_872338978,-22.5640499,-47.3669341
Estação Tratamento de Esgoto (ETE),-22.6144838,-46.9820774
WWTP_872347710,-22.7219221,-47.0053678
WWTP_872514153,-23.6922901,-49.4805363
WWTP_872514160,-22.9331528,-48.4629943
WWTP_872514162,-22.6980788,-47.7498151
Estação de Tratamento de Esgoto - ETE Quilombo,-22.7636301,-47.3175949
WWTP_872514189,-22.8060928,-47.2109236
WWTP_872691535,-23.0733123,-46.6962022
WWTP_872691541,-22.7417103,-46.9245107
WWTP_872751958,-23.1688169,-46.9296925
Estação de Tratamento de Esgoto,-21.5100074,-48.4071941
WWTP_882860364,-23.6353424,-45.4439824
WWTP_906250996,-23.3611703,-47.8855715
