sample_id,latitude,longitude,shannon_diversity,pielou_evenness,species_richness,dominant_phylum
Micro_P_0000158,-47.09,-71.16,4.324250586852469,0.6749385966733927,606,Unknown
Micro_P_0000197,-47.09,-71.16,2.6287556966314405,0.4435276710242113,375,Unknown
Micro_P_0000159,-47.02,-71.09,5.18655373681442,0.7679871791715984,857,Unknown
Micro_P_0000160,-47.02,-71.09,4.323306688049621,0.7183251191718045,411,Unknown
Micro_P_0000171,-47.02,-71.09,4.16055573820374,0.6278456236762516,755,Unknown
Micro_P_0000161,-47.05,-71.05,3.82086226059954,0.6538603949793568,345,Unknown
Micro_P_0000162,-47.05,-71.05,3.7386927433806543,0.7296485218102695,168,Unknown
Micro_P_0000194,-47.05,-71.05,3.344306579952022,0.5433604688958246,471,Unknown
Micro_P_0000163,-46.91,-71.33,5.060996571660576,0.7375706030947672,955,Unknown
Micro_P_0000164,-46.91,-71.33,4.60389220115143,0.7265297163724441,565,Unknown
Micro_P_0000181,-46.91,-71.33,3.9653263078948053,0.6289727194503419,547,Unknown
Micro_P_0000165,-48.36,-71.14,4.625702018753405,0.6713052413941906,983,Unknown
Micro_P_0000166,-48.53,-71.26,4.845052450770764,0.7116772546797592,905,Unknown
Micro_P_0000167,-48.5,-71.23,3.765228598927191,0.6058674238658965,500,Unknown
Micro_P_0000168,-48.5,-71.43,3.6059176398582458,0.5361932492424527,833,Unknown
Micro_P_0000169,-48.5,-71.43,3.7636276799576596,0.561263084206627,817,Unknown
Micro_P_0000170,-48.5,-71.21,4.171706572457665,0.6542081237824368,588,Unknown
Micro_P_0000172,-48.48,-71.38,4.3447623511461835,0.7073812912949362,465,Unknown
Micro_P_0000173,-48.59,-71.23,4.631468677713409,0.6815287228345542,894,Unknown
Micro_P_0000174,-47.13,-71.26,4.11629341794041,0.5776372446859906,1244,Unknown
Micro_P_0000179,-47.13,-71.26,6.591684499718702,0.8310992100163271,2783,Unknown
Micro_P_0000196,-47.13,-71.26,0.33283730003689505,0.0671607980198559,142,Unknown
Micro_P_0000175,-47.15,-71.14,5.099927407266016,0.7475490835661922,918,Unknown
Micro_P_0000178,-47.15,-71.14,3.8484655991766874,0.5991464474315638,616,Unknown
Micro_P_0000176,-47.14,-71.22,4.464269030071483,0.6278244707497502,1225,Unknown
Micro_P_0000180,-47.14,-71.22,7.600197396985241,0.9058838681722137,4402,Unknown
Micro_P_0000198,-47.14,-71.22,4.311306348309765,0.6533758353006311,734,Unknown
Micro_P_0000177,-47.13,-71.16,4.843583057574175,0.6952211717389791,1061,Unknown
Micro_P_0000186,-47.14,-71.16,3.5880666663515837,0.55530207197838,640,Unknown
Micro_P_0000182,-48.5,-71.44,4.20558183888723,0.6760744115730419,503,Unknown
